Reuniao,data_reuniao
R1/2022,2022-02-02
R2/2022,2022-03-16
R3/2022,2022-05-04
R4/2022,2022-06-15
R5/2022,2022-08-03
R6/2022,2022-09-21
R7/2022,2022-10-26
R8/2022,2022-12-07
R1/2023,2023-02-01
R2/2023,2023-03-22
R3/2023,2023-05-03
R4/2023,2023-06-21
R5/2023,2023-08-02
R6/2023,2023-09-20
R7/2023,2023-11-01
R8/2023,2023-12-13
R1/2024,2024-01-31
R2/2024,2024-03-20
R3/2024,2024-05-08
R4/2024,2024-06-26
R5/2024,2024-08-14
R6/2024,2024-10-09
R7/2024,2024-11-27
R8/2024,2024-12-15
R1/2025,2025-01-31
R2/2025,2025-03-20
R3/2025,2025-05-08
R4/2025,2025-06-26
R5/2025,2025-08-14
R6/2025,2025-10-09
R7/2025,2025-11-27
R8/2025,2025-12-15
R1/2026,2026-01-31
R2/2026,2026-03-20
R3/2026,2026-05-08
R4/2026,2026-06-26
R5/2026,2026-08-14
R6/2026,2026-10-09
R7/2026,2026-11-27
R8/2026,2026-12-15
